"seqName","region_final","clade"
"EPI_ISL_206919|Yamagata|HA|Europe|2015-11-18","Europe","Y3"
"EPI_ISL_183744|Yamagata|HA|Europe|2015-01-12","Europe","Y3"
"EPI_ISL_192088|Yamagata|HA|Europe|2015-03-09","Europe","Y3"
"EPI_ISL_193088|Yamagata|HA|Europe|2015-03-16","Europe","Y3"
"EPI_ISL_244095|Yamagata|HA|Europe|2016-12-06","Europe","Y3"
"EPI_ISL_230721|Yamagata|HA|Europe|2016-03-08","Europe","Y3"
"EPI_ISL_241244|Yamagata|HA|Europe|2016-02-16","Europe","Y3"
"EPI_ISL_232055|Yamagata|HA|Europe|2016-03-02","Europe","Y3"
"EPI_ISL_249381|Yamagata|HA|Europe|2016-12-15","Europe","Y3"
"EPI_ISL_238604|Yamagata|HA|Europe|2016-10-06","Europe","Y3"
"EPI_ISL_240689|Yamagata|HA|Europe|2016-11-15","Europe","Y3"
"EPI_ISL_237685|Yamagata|HA|Europe|2016-04-24","Europe","Y3"
"EPI_ISL_237913|Yamagata|HA|Europe|2016-05-16","Europe","Y3"
"EPI_ISL_273324|Yamagata|HA|Europe|2016-12-08","Europe","Y3"
"EPI_ISL_248668|Yamagata|HA|Europe|2016-12-24","Europe","Y3"
"EPI_ISL_261294|Yamagata|HA|Europe|2016-12-19","Europe","Y3"
"EPI_ISL_211874|Yamagata|HA|Europe|2016-01-04","Europe","Y3"
"EPI_ISL_212799|Yamagata|HA|Europe|2016-02-12","Europe","Y3"
"EPI_ISL_232750|Yamagata|HA|Europe|2016-06-22","Europe","Y3"
"EPI_ISL_304589|Yamagata|HA|Europe|2017-12-31","Europe","Y3"
"EPI_ISL_263007|Yamagata|HA|Europe|2017-03-16","Europe","Y3"
"EPI_ISL_258941|Yamagata|HA|Europe|2017-04-03","Europe","Y3"
"EPI_ISL_253633|Yamagata|HA|Europe|2017-02-07","Europe","Y3"
"EPI_ISL_291100|Yamagata|HA|Europe|2017-12-14","Europe","Y3"
"EPI_ISL_263088|Yamagata|HA|Europe|2017-02-14","Europe","Y3"
"EPI_ISL_319913|Yamagata|HA|Europe|2017-12-20","Europe","Y3"
"EPI_ISL_292254|Yamagata|HA|Europe|2017-12-09","Europe","Y3"
"EPI_ISL_295761|Yamagata|HA|Europe|2017-12-27","Europe","Y3"
"EPI_ISL_274359|Yamagata|HA|Europe|2017-02-22","Europe","Y3"
"EPI_ISL_259621|Yamagata|HA|Europe|2017-03-21","Europe","Y3"
"EPI_ISL_270583|Yamagata|HA|Europe|2017-01-23","Europe","Y3"
"EPI_ISL_292302|Yamagata|HA|Europe|2017-12-21","Europe","Y3"
"EPI_ISL_295048|Yamagata|HA|Europe|2017-12-18","Europe","Y3"
"EPI_ISL_308662|Yamagata|HA|Europe|2017-12-20","Europe","Y3"
"EPI_ISL_301275|Yamagata|HA|Europe|2018-01-29","Europe","Y3"
"EPI_ISL_304817|Yamagata|HA|Europe|2018-01-28","Europe","Y3"
"EPI_ISL_312374|Yamagata|HA|Europe|2018-01-03","Europe","Y3"
"EPI_ISL_313962|Yamagata|HA|Europe|2018-01-05","Europe","Y3"
"MK949224.1|BY|HA|Europe|2018-01-08","Europe","Y3"
"EPI_ISL_320452|Yamagata|HA|Europe|2018-03-10","Europe","Y3"
"EPI_ISL_312382|Yamagata|HA|Europe|2018-01-17","Europe","Y3"
"EPI_ISL_309599|Yamagata|HA|Europe|2018-04-10","Europe","Y3"
"EPI_ISL_307219|Yamagata|HA|Europe|2018-03-22","Europe","Y3"
"EPI_ISL_302671|Yamagata|HA|Europe|2018-01-08","Europe","Y3"
"EPI_ISL_303343|Yamagata|HA|Europe|2018-01-19","Europe","Y3"
"EPI_ISL_309659|Yamagata|HA|Europe|2018-02-16","Europe","Y3"
"MK829803.1|BY|HA|Europe|2018-01-23","Europe","Y3"
"EPI_ISL_307172|Yamagata|HA|Europe|2018-02-23","Europe","Y3"
"EPI_ISL_299447|Yamagata|HA|Europe|2018-01-22","Europe","Y3"
"EPI_ISL_400420|Yamagata|HA|Europe|2019-11-27","Europe","Y3"
"EPI_ISL_389150|Yamagata|HA|Europe|2019-02-06","Europe","Y3"
"EPI_ISL_486985|Yamagata|HA|Europe|2019-12-04","Europe","Y3"
"EPI_ISL_513977|Yamagata|HA|Europe|2019-03-08","Europe","Y3"
"EPI_ISL_357410|Yamagata|HA|Europe|2019-04-01","Europe","Y3"
"EPI_ISL_471017|Yamagata|HA|Europe|2019-12-17","Europe","Y3"
"EPI_ISL_400423|Yamagata|HA|Europe|2019-11-26","Europe","Y3"
"EPI_ISL_367840|Yamagata|HA|Europe|2019-02-14","Europe","Y3"
"EPI_ISL_355249|Yamagata|HA|Europe|2019-03-01","Europe","Y3"
"EPI_ISL_355248|Yamagata|HA|Europe|2019-02-20","Europe","Y3"
"EPI_ISL_344103|Yamagata|HA|Europe|2019-01-15","Europe","Y3"
"EPI_ISL_393865|Yamagata|HA|Europe|2019-03-24","Europe","Y3"
"EPI_ISL_389151|Yamagata|HA|Europe|2019-04-23","Europe","Y3"
"EPI_ISL_513982|Yamagata|HA|Europe|2019-03-23","Europe","Y3"
"EPI_ISL_409842|Yamagata|HA|Europe|2019-12-17","Europe","Y3"
"EPI_ISL_95495|Yamagata|HA|Japan/Korea|2011-04-13","Japan/Korea","Y1"
"JN790299.1|BY|HA|Japan/Korea|2011-02-14","Japan/Korea","Y1"
"EPI_ISL_94373|Yamagata|HA|Japan/Korea|2011-03-02","Japan/Korea","Y1"
"EPI_ISL_104821|Yamagata|HA|Japan/Korea|2011-12-18","Japan/Korea","Y2"
"EPI_ISL_103624|Yamagata|HA|Japan/Korea|2011-09-30","Japan/Korea","Y2"
"EPI_ISL_94378|Yamagata|HA|Japan/Korea|2011-05-10","Japan/Korea","Y1"
"EPI_ISL_94374|Yamagata|HA|Japan/Korea|2011-04-18","Japan/Korea","Y1"
"MF440962.1|BY|HA|Japan/Korea|2011-12-01","Japan/Korea","Y2"
"EPI_ISL_93319|Yamagata|HA|Japan/Korea|2011-01-17","Japan/Korea","Y1"
"EPI_ISL_100063|Yamagata|HA|Japan/Korea|2011-11-15","Japan/Korea","Y2"
"MF440982.1|BY|HA|Japan/Korea|2011-12-01","Japan/Korea","Y2"
"EPI_ISL_94372|Yamagata|HA|Japan/Korea|2011-02-08","Japan/Korea","Y1"
"MF441020.1|BY|HA|Japan/Korea|2011-12-01","Japan/Korea","Y3"
"EPI_ISL_93289|Yamagata|HA|Japan/Korea|2011-01-25","Japan/Korea","Y1"
"EPI_ISL_100061|Yamagata|HA|Japan/Korea|2011-10-26","Japan/Korea","Y2"
"EPI_ISL_121896|Yamagata|HA|Japan/Korea|2012-01-26","Japan/Korea","Y1"
"EPI_ISL_134794|Yamagata|HA|Japan/Korea|2012-12-04","Japan/Korea","Y2"
"EPI_ISL_150535|Yamagata|HA|Japan/Korea|2012-12-28","Japan/Korea","Y2"
"EPI_ISL_145015|Yamagata|HA|Japan/Korea|2012-12-18","Japan/Korea","Y2"
"EPI_ISL_145014|Yamagata|HA|Japan/Korea|2012-11-21","Japan/Korea","Y2"
"EPI_ISL_137263|Yamagata|HA|Japan/Korea|2012-12-26","Japan/Korea","Y2"
"EPI_ISL_121892|Yamagata|HA|Japan/Korea|2012-02-08","Japan/Korea","Y1"
"EPI_ISL_121893|Yamagata|HA|Japan/Korea|2012-01-30","Japan/Korea","Y1"
"EPI_ISL_128322|Yamagata|HA|Japan/Korea|2012-05-24","Japan/Korea","Y2"
"EPI_ISL_129030|Yamagata|HA|Japan/Korea|2012-04-20","Japan/Korea","Y2"
"AB744211.1|BY|HA|Japan/Korea|2012-04-12","Japan/Korea","Y2"
"EPI_ISL_128325|Yamagata|HA|Japan/Korea|2012-05-13","Japan/Korea","Y2"
"EPI_ISL_128326|Yamagata|HA|Japan/Korea|2012-05-08","Japan/Korea","Y2"
"EPI_ISL_123253|Yamagata|HA|Japan/Korea|2012-03-02","Japan/Korea","Y2"
"EPI_ISL_106356|Yamagata|HA|Japan/Korea|2012-01-13","Japan/Korea","Y1"
"EPI_ISL_145011|Yamagata|HA|Japan/Korea|2013-04-16","Japan/Korea","Y2"
"EPI_ISL_145006|Yamagata|HA|Japan/Korea|2013-02-26","Japan/Korea","Y3"
"EPI_ISL_145048|Yamagata|HA|Japan/Korea|2013-05-07","Japan/Korea","Y2"
"EPI_ISL_143728|Yamagata|HA|Japan/Korea|2013-05-07","Japan/Korea","Y2"
"EPI_ISL_146071|Yamagata|HA|Japan/Korea|2013-05-14","Japan/Korea","Y2"
"EPI_ISL_137266|Yamagata|HA|Japan/Korea|2013-01-16","Japan/Korea","Y3"
"EPI_ISL_145045|Yamagata|HA|Japan/Korea|2013-04-27","Japan/Korea","Y2"
"EPI_ISL_163819|Yamagata|HA|Japan/Korea|2013-12-29","Japan/Korea","Y3"
"EPI_ISL_150540|Yamagata|HA|Japan/Korea|2013-03-05","Japan/Korea","Y2"
"EPI_ISL_155594|Yamagata|HA|Japan/Korea|2013-12-23","Japan/Korea","Y3"
"EPI_ISL_150541|Yamagata|HA|Japan/Korea|2013-03-29","Japan/Korea","Y2"
"EPI_ISL_138589|Yamagata|HA|Japan/Korea|2013-01-28","Japan/Korea","Y2"
"EPI_ISL_155596|Yamagata|HA|Japan/Korea|2013-12-16","Japan/Korea","Y3"
"EPI_ISL_138588|Yamagata|HA|Japan/Korea|2013-02-12","Japan/Korea","Y2"
"EPI_ISL_138596|Yamagata|HA|Japan/Korea|2013-02-15","Japan/Korea","Y3"
"LC033065.1|BY|HA|Japan/Korea|2014-03-27","Japan/Korea","Y2"
"EPI_ISL_163858|Yamagata|HA|Japan/Korea|2014-04-07","Japan/Korea","Y3"
"EPI_ISL_172192|Yamagata|HA|Japan/Korea|2014-01-20","Japan/Korea","Y3"
"EPI_ISL_163171|Yamagata|HA|Japan/Korea|2014-01-28","Japan/Korea","Y3"
"EPI_ISL_163178|Yamagata|HA|Japan/Korea|2014-03-23","Japan/Korea","Y3"
"EPI_ISL_166261|Yamagata|HA|Japan/Korea|2014-05-28","Japan/Korea","Y2"
"EPI_ISL_166252|Yamagata|HA|Japan/Korea|2014-03-17","Japan/Korea","Y3"
"LC033377.1|BY|HA|Japan/Korea|2014-02-17","Japan/Korea","Y3"
"LC033209.1|BY|HA|Japan/Korea|2014-03-03","Japan/Korea","Y2"
"EPI_ISL_169592|Yamagata|HA|Japan/Korea|2014-09-26","Japan/Korea","Y3"
"EPI_ISL_163859|Yamagata|HA|Japan/Korea|2014-03-31","Japan/Korea","Y3"
"LC033009.1|BY|HA|Japan/Korea|2014-02-04","Japan/Korea","Y2"
"KP144958.1|BY|HA|Japan/Korea|2014-04-14","Japan/Korea","Y2"
"LC033185.1|BY|HA|Japan/Korea|2014-02-05","Japan/Korea","Y2"
"LC033177.1|BY|HA|Japan/Korea|2014-01-28","Japan/Korea","Y2"
"EPI_ISL_177630|Yamagata|HA|Japan/Korea|2015-01-27","Japan/Korea","Y3"
"EPI_ISL_195763|Yamagata|HA|Japan/Korea|2015-03-28","Japan/Korea","Y3"
"EPI_ISL_203510|Yamagata|HA|Japan/Korea|2015-10-20","Japan/Korea","Y3"
